Time (s), X(nmi), Y(nmi)
180, 33.552, 14.937
185, 33.300, 14.581
190, 33.920, 16.037
195, 33.572, 15.482
200, 34.614, 15.830
205, 35.930, 18.081
210, 36.517, 17.580
215, 36.271, 17.925
220, 38.290, 17.188
225, 35.577, 16.275
230, 37.803, 16.698
235, 39.216, 19.312
240, 39.085, 19.886
245, 40.314, 19.513
250, 40.551, 21.939
255, 39.887, 20.041
260, 41.221, 21.713
265, 41.208, 19.994
270, 42.902, 23.638
275, 44.897, 22.483
280, 44.296, 21.787
285, 43.401, 23.105
290, 44.771, 24.419
295, 45.774, 23.325
300, 44.817, 24.947
305, 46.001, 25.333
310, 47.528, 25.574
315, 45.918, 27.364
320, 47.230, 28.009
325, 46.180, 27.224
330, 48.244, 27.412
335, 48.623, 28.245
340, 49.574, 28.454
345, 50.622, 29.031
350, 50.056, 27.612
355, 52.645, 28.577
360, 51.881, 31.206
365, 51.594, 31.367
370, 53.114, 30.541
375, 53.469, 31.336
380, 53.627, 31.558
385, 54.831, 31.265
390, 54.546, 31.753
395, 54.570, 33.646
400, 57.348, 32.755
405, 57.466, 31.235
410, 58.102, 33.404
415, 57.836, 34.357
420, 57.876, 33.198
425, 60.739, 34.156
430, 57.567, 35.258
435, 59.929, 35.524
440, 60.780, 35.806
445, 60.828, 37.111
450, 62.198, 36.743
455, 61.529, 37.243
460, 63.169, 35.799
465, 62.897, 38.607
470, 62.875, 38.301
475, 63.848, 41.706
480, 64.753, 37.852
